MAJ   ; Latitude ; Longitude 
SAMOGNAT   ;46.25;5.583333
SANDRANS   ;46.066667;4.983333
SAULT BRENAZ  ;45.85;5.416667
SAUVERNY   ;46.316667;6.116667
   ;46;4.85
SEGNY   ;46.3;6.083333
SEILLONNAZ   ;45.8;5.483333
SERGY   ;46.25;6
SERMOYER   ;46.5;4.983333
SERRIERES SUR AIN ;46.15;5.45
SERVAS   ;46.133333;5.166667
SERVIGNAT   ;46.433333;5.066667
SIMANDRE SUR SURAN ;46.216667;5.416667
SONGIEU   ;45.966667;5.7
SONTHONNAX LA MONTAGNE ;46.233333;5.533333
SOUCLIN   ;45.866667;5.416667
SULIGNAT   ;46.166667;4.966667
SURJOUX   ;46.016667;5.8
SUTRIEU   ;45.95;5.65
TALISSIEU   ;45.866667;5.716667
TENAY   ;45.916667;5.5
THEZILLIEU   ;45.883333;5.6
THIL   ;45.816667;5.016667
THOISSEY   ;46.166667;4.8
TORCIEU   ;45.916667;5.4
TOSSIAT   ;46.133333;5.316667
TOUSSIEUX   ;45.966667;4.833333
TRAMOYES   ;45.866667;4.966667
LA TRANCLIERE  ;46.116667;5.266667
TREVOUX   ;45.933333;4.766667
VALEINS   ;46.116667;4.866667
VANDEINS   ;46.216667;5.083333
VARAMBON   ;46.033333;5.316667
VAUX EN BUGEY ;45.916667;5.35
VERJON   ;46.35;5.35
VERNOUX   ;46.483333;5.116667
VERSAILLEUX   ;45.983333;5.1
VESANCY   ;46.35;6.083333
VESCOURS   ;46.466667;5.033333
VESINES   ;46.35;4.866667
VEYZIAT   ;46.283333;5.633333
VIEU D IZENAVE ;46.083333;5.533333
VIEU   ;45.9;5.683333
VILLARS LES DOMBES ;46;5.016667
VILLEBOIS   ;45.85;5.433333
VILLEMOTIER   ;46.35;5.316667
VILLEREVERSURE   ;46.183333;5.383333
VILLES   ;46.083333;5.783333
VIRIAT   ;46.25;5.216667
VIRIEU LE GRAND ;45.85;5.65
VIRIEU LE PETIT ;45.9;5.716667
VIRIGNIN   ;45.716667;5.716667
VOLOGNAT   ;46.183333;5.516667
VONGNES   ;45.816667;5.716667
VONNAS   ;46.216667;5
VOUVRAY   ;46.116667;5.783333
LA VALBONNE  ;45.85;5.133333
CHANES   ;45.85;5.15
MARFOZ   ;45.883333;5.15
LE MAS RILLIER ;45.833333;4.95
ABBECOURT   ;49.6;3.183333
ACHERY   ;49.683333;3.383333
ACY   ;49.35;3.416667
AGNICOURT ET SECHELLES ;49.716667;3.95
AGUILCOURT   ;49.4;3.966667
AISONVILLE ET BERNOVILLE ;49.933333;3.533333
AIZELLES   ;49.483333;3.816667
ALAINCOURT   ;49.75;3.366667
ALLEMANT   ;49.466667;3.45
AMBLENY   ;49.383333;3.183333
AMBRIEF   ;49.316667;3.4
AMIFONTAINE   ;49.483333;3.916667
AMIGNY ROUY  ;49.6;3.3
ANCIENVILLE   ;49.216667;3.216667
ANDELAIN   ;49.633333;3.366667
ANGUILCOURT LE SART ;49.683333;3.433333
ANIZY LE CHATEAU ;49.5;3.45
ANNOIS   ;49.716667;3.166667
ANY MARTIN RIEUX ;49.883333;4.2165
ARCHON   ;49.741667;4.116667
ARCY SAINTE RESTITUE ;49.25;3.466667
ARMENTIERES SUR OURCQ ;49.183333;3.383333
ARRANCY   ;49.483333;3.75
ARTEMPS   ;49.766667;3.183333
ARTONGES   ;48.933333;3.55
ASSIS SUR SERRE ;49.683333;3.566667
ATHIES SOUS LAON ;49.566667;3.683333
ATTILLY   ;49.85;3.166667
AUBENCHEUL AUX BOIS ;50.033333;3.266667
AUBENTON   ;49.833333;4.2
AUBIGNY AUX KAISNES ;49.783333;3.116667
AUBIGNY EN LAONNOIS ;49.5;3.8
AUDIGNICOURT   ;49.483333;3.133333
AUDIGNY   ;49.85;3.65
AUGY   ;49.333333;3.516667
AULNOIS SOUS LAON ;49.616667;3.6
LES AUTELS  ;49.766667;4.2257
AUTREMENCOURT   ;49.7;3.8
AUTREPPES   ;49.9;3.85
AUTREVILLE   ;49.583333;3.233333
AZY SUR MARNE ;49;3.366667
BAGNEUX   ;49.466667;3.283333
BANCIGNY   ;49.8;4.016667
BARBONVAL   ;49.35;3.666667
BARENTON BUGNY  ;49.633333;3.65
BARENTON CEL  ;49.65;3.633333
BARENTON SUR SERRE ;49.666667;3.683333
BARZY EN THIERACHE ;50.033333;3.75
BARZY SUR MARNE ;49.083333;3.55
BASSOLES AULERS  ;49.533333;3.383333
BAULNE EN BRIE ;48.983333;3.616667
BEAUME   ;49.833333;4.15
BEAUMONT EN BEINE ;49.7;3.133333
BEAUREVOIR   ;50;3.3
BEAURIEUX   ;49.4;3.733333
BEAUTOR   ;49.65;3.333333
BEAUVOIS EN VERMANDOIS ;49.816667;3.1
BELLEAU   ;49.1;3.3
BELLENGLISE   ;49.916667;3.25
BELLEU   ;49.366667;3.333333
BELLICOURT   ;49.95;3.233333
BENAY   ;49.75;3.316667
BERGUES SUR SAMBRE ;50.033333;3.716667
BERLISE   ;49.666667;4.116667
BERNOT   ;49.866667;3.5
BERNY RIVIERE  ;49.416667;3.15
BERRIEUX   ;49.483333;3.85
BERRY AU BAC ;49.4;3.9
BERTAUCOURT EPOURDON  ;49.616667;3.383333
BERTHENICOURT   ;49.766667;3.383333
BERTRICOURT   ;49.383333;4
BERZY LE SEC ;49.333333;3.316667
BESME   ;49.533333;3.166667
BESMONT   ;49.833333;4.116667
BESNY ET LOIZY ;49.6;3.583333
BETHANCOURT EN VAUX ;49.616667;3.15
BEUGNEUX   ;49.233333;3.416667
BEUVARDES   ;49.15;3.483333
BEZU LE GUERY ;49.016667;3.233333
BEZU SAINT GERMAIN ;49.1;3.4
BICHANCOURT   ;49.583333;3.216667
BIEUXY   ;49.45;3.266667
BIEVRES   ;49.5;3.716667
BILLY SUR AISNE ;49.366667;3.383333
BILLY SUR OURCQ ;49.216667;3.3
BLANZY LES FISMES ;49.333333;3.666667
BLERANCOURT   ;49.516667;3.15
BLESMES   ;49.033333;3.45
BOHAIN EN VERMANDOIS ;49.983333;3.45
BOIS LES PARGNY ;49.716667;3.65
BONCOURT   ;49.616667;3.95
BONNEIL   ;49;3.35
BONNESVALYN   ;49.116667;3.316667
BONY   ;49.983333;3.216667
BOSMONT SUR SERRE ;49.733333;3.866667
BOUE   ;50.016667;3.7
BOUFFIGNEREUX   ;49.366667;3.85
BOURESCHES   ;49.066667;3.3
BOURG ET COMIN ;49.4;3.65
BOURGUIGNON SOUS COUCY ;49.55;3.166667
LA BOUTEILLE  ;49.866667;3.966667
BRAINE   ;49.333333;3.533333
BRANCOURT EN LAONNOIS ;49.516667;3.416667
BRANCOURT LE GRAND ;49.966667;3.383333
BRANGES   ;49.266667;3.5
BRASLES   ;49.05;3.433333
BRAYE EN LAONNOIS ;49.433333;3.616667
BRAYE EN THIERACHE ;49.783333;3.966667
BRAY SAINT CHRISTOPHE ;49.766667;3.15
BRAYE   ;49.433333;3.366667
BRECY   ;49.15;3.433333
BRENELLE   ;49.366667;3.533333
BRENY   ;49.183333;3.35
BRISSAY CHOIGNY  ;49.716667;3.366667
BRUMETZ   ;49.1;3.15
BRUNEHAMEL   ;49.766667;4.183333
BRUYERES SUR FERE ;49.183333;3.433333
BRUYERES ET MONTBERAULT ;49.516667;3.666667
BRUYS   ;49.266667;3.566667
BUCILLY   ;49.883333;4.083333
BUCY LE LONG ;49.4;3.383333
BUCY LES CERNY ;49.583333;3.516667
BUCY LES PIERREPONT ;49.65;3.9
BUIRE   ;49.9;4.05
BUIRONFOSSE   ;49.966667;3.833333
BURELLES   ;49.783333;3.9
BUSSIARES   ;49.083333;3.25
BUZANCY   ;49.316667;3.35
CAILLOUEL CREPIGNY  ;49.616667;3.15
CASTRES   ;49.8;3.233333
LE CATELET  ;50;3.25
CAULAINCOURT   ;49.866667;3.1
CAUMONT   ;49.616667;3.183333
CELLES LES CONDE ;49.016667;3.566667
CELLES SUR AISNE ;49.416667;3.483333
CERIZY   ;49.75;3.333333
CERNY EN LAONNOIS ;49.45;3.666667
CERNY LES BUCY ;49.583333;3.533333
CERSEUIL   ;49.333333;3.516667
CESSIERES   ;49.566667;3.483333
CHACRISE   ;49.3;3.4
CHAILLEVOIS   ;49.516667;3.516667
CHALANDRY   ;49.683333;3.633333
CHAMBRY   ;49.6;3.65
CHAMOUILLE   ;49.466667;3.666667
CHAMPS   ;49.533333;3.25
CHAOURSE   ;49.7;4
LA CHAPELLE MONTHODON ;49.016667;3.633333
LA CHAPELLE SUR CHEZY;48.95;3.383333
LE CHARMEL  ;49.116667;3.55
CHARMES   ;49.65;3.383333
CHARTEVES   ;49.083333;3.5
CHASSEMY   ;49.383333;3.5
CHATEAU THIERRY  ;49.05;3.4
CHATILLON LES SONS ;49.75;3.683333
CHATILLON SUR OISE ;49.783333;3.4
CHAUDARDES   ;49.383333;3.783333
CHAUDUN   ;49.316667;3.266667
CHAUNY   ;49.616667;3.216667
CHAVIGNON   ;49.483333;3.516667
CHAVIGNY   ;49.433333;3.3
CHAVONNE   ;49.4;3.566667
CHERET   ;49.516667;3.683333
CHERMIZY AILLES  ;49.466667;3.733333
CHERY CHARTREUVE  ;49.266667;3.616667
CHERY LES POUILLY ;49.65;3.6
CHERY LES ROZOY ;49.716667;4.083333
CHEVENNES   ;49.816667;3.733333
CHEVREGNY   ;49.466667;3.583333
CHEVRESIS MONCEAU  ;49.75;3.566667
CHEZY EN ORXOIS ;49.133333;3.183333
CHEZY SUR MARNE ;48.983333;3.366667
CHIERRY   ;49.033333;3.433333
CHIGNY   ;49.916667;3.766667
CHIVRES EN LAONNOIS ;49.633333;3.85
CHIVRES VAL  ;49.4;3.433333
CHIVY LES ETOUVELLES ;49.516667;3.583333
CHOUY   ;49.2;3.25
CIERGES   ;49.166667;3.6
CILLY   ;49.733333;3.833333
CIRY SALSOGNE  ;49.366667;3.466667
CLACY ET THIERRET ;49.55;3.566667
CLAIRFONTAINE   ;49.983333;3.983333
CLAMECY   ;49.433333;3.366667
CLASTRES   ;49.733333;3.233333
CLERMONT LES FERMES ;49.666667;3.95
COEUVRES ET VALSERY ;49.333333;3.15
COHAN   ;49.216667;3.65
COINCY   ;49.166667;3.416667
COINGT   ;49.783333;4.083333
COLLIGIS CRANDELAIN  ;49.483333;3.65
COLONFAY   ;49.85;3.7
COMMENCHON   ;49.633333;3.166667
CONCEVREUX   ;49.383333;3.783333
CONDE EN BRIE ;49;3.55
CONDE SUR AISNE ;49.4;3.45
CONDE SUR SUIPPE ;49.416667;3.95
CONDREN   ;49.616667;3.283333
CONNIGIS   ;49.033333;3.533333
CONTESCOURT   ;49.8;3.233333
CORBENY   ;49.466667;3.816667
CORCY   ;49.25;3.216667
COUCY LES EPPES ;49.55;3.766667
COUCY LA VILLE ;49.533333;3.333333
COUPRU   ;49.033333;3.266667
COURBES   ;49.683333;3.45
COURBOIN   ;49;3.5
COURCHAMPS   ;49.116667;3.266667
COURMELLES   ;49.35;3.316667
COURMONT   ;49.15;3.566667
COURTEMONT VARENNES  ;49.066667;3.55
COURTRIZY ET FUSSIGNY ;49.516667;3.8
COUVRELLES   ;49.35;3.483333
COUVRON ET AUMENCOURT ;49.65;3.516667
COYOLLES   ;49.233333;3.05
CRAMAILLE   ;49.233333;3.45
CRAONNE   ;49.433333;3.783333
CRAONNELLE   ;49.433333;3.766667
CRECY AU MONT ;49.483333;3.316667
CRECY SUR SERRE ;49.7;3.616667
CREZANCY   ;49.05;3.5
CROIX FONSOMMES  ;49.916667;3.4
LA CROIX SUR OURCQ;49.166667;3.35
CROUY   ;49.4;3.366667
CRUPILLY   ;49.916667;3.75
CUFFIES   ;49.416667;3.316667
CUGNY   ;49.7;3.15
CUGNY LES CROUTTES ;49.2;3.383333
CUIRIEUX   ;49.683333;3.816667
CUIRY HOUSSE  ;49.3;3.483333
CUIRY LES CHAUDARDES ;49.383333;3.766667
CUISSY ET GENY ;49.416667;3.7
CUISY EN ALMONT ;49.416667;3.25
CUTRY   ;49.35;3.183333
CYS LA COMMUNE ;49.4;3.566667
DAGNY LAMBERCY  ;49.766667;4.033333
DALLON   ;49.816667;3.233333
DAMMARD   ;49.15;3.2
DAMPLEUX   ;49.25;3.15
DANIZY   ;49.65;3.383333
DERCY   ;49.7;3.683333
DEUILLET   ;49.633333;3.35
DHUIZEL   ;49.366667;3.616667
DIZY LE GROS ;49.633333;4.016667
DOHIS   ;49.75;4.133333
DOLIGNON   ;49.716667;4.083333
DOMMIERS   ;49.333333;3.216667
DOMPTIN   ;49.016667;3.283333
DORENGT   ;49.966667;3.683333
DOUCHY   ;49.766667;3.116667
DRAVEGNY   ;49.233333;3.633333
DROIZY   ;49.283333;3.383333
EBOULEAU   ;49.666667;3.866667
EFFRY   ;49.933333;4
ENGLANCOURT   ;49.916667;3.8
EPAGNY   ;49.466667;3.25
EPARCY   ;49.866667;4.066667
EPAUX BEZU  ;49.1;3.35
EPIEDS   ;49.1;3.45
